# prefix,country_code,region_code,city,postal
38.44.248.0/21,US,US-ID,Boise,
107.190.184.0/24,US,US-WY,Freedom,
107.190.185.0/24,US,US-ID,Idaho Falls,
107.190.186.0/24,US,US-ID,Idaho Falls,
107.190.187.0/24,US,US-ID,Idaho Falls,
107.190.188.0/24,US,US-ID,Idaho Falls,
107.190.189.0/24,US,US-WY,Freedom,
107.190.190.0/24,US,US-ID,Victor,
107.190.191.0/24,US,US-WY,Freedom,
154.27.160.0/24,US,US-ID,Boise,
154.27.161.0/24,US,US-ID,Boise,
154.27.162.0/24,US,US-ID,Boise,
154.27.163.0/24,US,US-ID,Boise,
154.27.164.0/24,US,US-ID,Boise,
154.27.165.0/24,US,US-ID,Boise,
154.27.166.0/24,US,US-ID,Boise,
154.27.167.0/24,US,US-ID,Boise,
154.27.168.0/24,US,US-ID,Idaho Falls,
154.27.169.0/24,US,US-WY,Freedom,
154.27.170.0/24,US,US-ID,Boise,
154.27.171.0/24,US,US-ID,Idaho Falls,
154.27.172.0/24,US,US-ID,Boise,
154.27.173.0/24,US,US-ID,Boise,
154.27.174.0/24,US,US-ID,Boise,
154.27.175.0/24,US,US-ID,Boise,
154.27.176.0/24,US,US-ID,Boise,
154.27.177.0/24,US,US-ID,Boise,
154.27.178.0/24,US,US-ID,Boise,
154.27.179.0/24,US,US-ID,Boise,
154.27.180.0/24,US,US-ID,Boise,
154.27.181.0/24,US,US-ID,Boise,
154.27.182.0/24,US,US-ID,Boise,
154.27.183.0/24,US,US-ID,Boise,
154.27.184.0/24,US,US-ID,Boise,
154.27.185.0/24,US,US-ID,Boise,
154.27.186.0/24,US,US-ID,Boise,
154.27.187.0/24,US,US-ID,Boise,
154.27.188.0/24,US,US-ID,Boise,
154.27.189.0/24,US,US-ID,Boise,
162.248.129.0/24,US,US-WY,Freedom,
192.187.63.0/24,US,US-ID,Victor,
199.19.112.0/24,US,US-ID,Victor,
199.19.113.0/24,US,US-ID,Victor,
199.19.114.0/24,US,US-ID,Victor,
199.19.115.0/24,US,US-ID,Victor,
199.19.116.0/24,US,US-ID,Idaho Falls,
199.19.117.0/24,US,US-ID,Idaho Falls,
199.66.104.0/24,US,US-ID,Victor,
199.66.105.0/24,US,US-ID,Victor,
199.66.107.0/24,US,US-WY,Freedom,
199.192.124.0/24,US,US-WY,Freedom,
199.192.126.0/24,US,US-WY,Freedom,
204.8.60.0/24,US,US-ID,Idaho Falls,
204.8.61.0/24,US,US-ID,Idaho Falls,
204.8.62.0/24,US,US-ID,Idaho Falls,
204.8.63.0/24,US,US-ID,Idaho Falls,
204.8.68.0/24,US,US-ID,Victor,
204.8.69.0/24,US,US-ID,Idaho Falls,
204.8.70.0/24,US,US-WY,Freedom,
204.8.71.0/24,US,US-ID,Victor,
204.229.0.0/20,US,US-ID,Boise,
204.229.24.0/22,US,US-ID,Boise,
207.183.160.0/23,US,US-ID,Victor,
207.183.162.0/23,US,US-WY,Freedom,
207.183.164.0/23,US,US-WY,Freedom,
207.183.166.0/23,US,US-WY,Freedom,
207.183.170.0/24,US,US-WY,Freedom,
207.183.171.0/24,US,US-WY,Freedom,
207.183.172.0/23,US,US-ID,Victor,
207.183.176.0/23,US,US-WY,Freedom,
207.183.178.0/24,US,US-WY,Freedom,
207.183.179.0/24,US,US-WY,Freedom,
207.183.180.0/22,US,US-ID,Victor,
207.183.184.0/24,US,US-WY,Freedom,
207.183.185.0/24,US,US-ID,Victor,
207.183.186.0/24,US,US-ID,Victor,
207.183.187.160/29,US,US-WY,Freedom,
207.183.188.0/24,US,US-ID,Victor,
207.183.189.0/24,US,US-ID,Victor,
216.21.208.0/24,US,US-WY,Freedom,
216.21.209.0/24,US,US-WY,Freedom,
216.21.210.0/24,US,US-WY,Freedom,
216.21.211.0/24,US,US-ID,Idaho Falls,
216.128.232.0/22,US,US-ID,Victor,
216.128.237.156/30,US,US-WY,Freedom,
216.128.238.160/28,US,US-WY,Freedom,
217.147.184.0/24,US,US-ID,Idaho Falls,
217.147.185.0/24,US,US-ID,Idaho Falls,
217.147.188.0/24,US,US-ID,Victor,
217.147.189.0/24,US,US-ID,Victor,
217.147.190.0/24,US,US-ID,Victor,
2605:c900:8000::/36,US,US-WY,,
2605:c900::/32,US,US-ID,,
2605:c900::/36,US,US-ID,,
